APJ ABDUL KALAM TECHNOLOGICAL UNIVERSITYThiruvananthapuram, Kerala, INDIAMODEL ENGINEERING COLLEGEBTech S1 regular examination 2016-17 (S1 Result)*TBP -To Be Published SoonELECTRONICS & COMMUNICATION ENGGCourse CodeCourseMA101CALCULUSBE100ENGINEERING MECHANICSBE10104INTRODUCTION TO ELECTRONICS ENGINEERINGEE100BASICS OF ELECTRICAL ENGINEERINGBE110ENGINEERING GRAPHICSME100BASICS OF MECHANICAL ENGINEERINGCY100ENGINEERING CHEMISTRYBE103INTRODUCTION TO SUSTAINABLE ENGINEERINGCY110ENGINEERING CHEMISTRY LABEC110ELECTRONICS ENGINEERING WORKSHOPME110MECHANICAL ENGINEERING WORKSHOPRegister NoCourse Code (Grade)
MDL15EC020BE10104(A+)
MDL15EC033BE100(FE), BE10104(FE), EE100(FE)
MDL15EC035MA101(C)
MDL15EC039BE110(F)
MDL15EC078BE10104(F), ME100(F)
MDL15EC100BE100(F), BE10104(F), EE100(C)
MDL15EC122BE10104(C)
MDL16EC001MA101(A+), CY100(B+), BE100(C), BE10104(B), BE103(B+), ME100(F), CY110(O), ME110(A+),EC110(O)
MDL16EC002MA101(A+), CY100(C), BE100(F), BE10104(F), BE103(A), ME100(F), CY110(O), ME110(A),EC110(A)
MDL16EC003MA101(O), CY100(B+), BE100(B), BE10104(B+), BE103(A), ME100(B), CY110(O), ME110(O),EC110(O)
MDL16EC004MA101(O), CY100(B+), BE100(B), BE10104(B+), BE103(B+), ME100(C), CY110(O), ME110(O),EC110(O)
MDL16EC005MA101(O), CY100(A+), BE100(B+), BE10104(B+), BE103(B+), ME100(B+), CY110(O),ME110(O), EC110(O)
MDL16EC006MA101(O), CY100(A), BE100(B+), BE10104(B), BE103(A), ME100(B), CY110(O), ME110(O),EC110(A)
MDL16EC007MA101(O), CY100(B+), BE100(B+), BE10104(B+), BE103(A+), ME100(B), CY110(O), ME110(O),EC110(O)
MDL16EC008MA101(B+), CY100(A), BE100(B+), BE10104(A), BE103(A+), ME100(B), CY110(O), ME110(O),EC110(O)
MDL16EC009MA101(O), CY100(C), BE100(B), BE10104(B), BE103(B+), ME100(F), CY110(O), ME110(A),EC110(B+)
MDL16EC010MA101(B), CY100(F), BE100(C), BE10104(C), BE103(C), ME100(F), CY110(O), ME110(O),EC110(B+)
MDL16EC011MA101(F), CY100(B), BE100(F), BE10104(C), BE103(B+), ME100(F), CY110(O), ME110(A+),EC110(A)
MDL16EC012MA101(A), CY100(A), BE100(B), BE10104(B), BE103(B+), ME100(B), CY110(O), ME110(A+),EC110(A+)
MDL16EC013MA101(A+), CY100(A), BE100(B), BE10104(B+), BE103(B+), ME100(B+), CY110(O), ME110(A+),EC110(O)
MDL16EC014MA101(A+), CY100(A+), BE100(B+), BE10104(B+), BE103(A), ME100(B), CY110(O), ME110(A+),EC110(A+)
MDL16EC015MA101(A+), CY100(B+), BE100(B), BE10104(A), BE103(B+), ME100(B), CY110(A+), ME110(A),EC110(O)
MDL16EC016MA101(A+), CY100(B+), BE100(B), BE10104(B+), BE103(A), ME100(B), CY110(O), ME110(A),EC110(A+)
MDL16EC017MA101(O), CY100(A+), BE100(C), BE10104(A+), BE103(A+), ME100(B+), CY110(O), ME110(A+),EC110(A)
MDL16EC018MA101(O), CY100(O), BE100(A), BE10104(A), BE103(A+), ME100(A), CY110(O), ME110(A+),EC110(O)
MDL16EC019MA101(A), CY100(A), BE100(B+), BE10104(B+), BE103(O), ME100(B), CY110(O), ME110(A),EC110(O)
MDL16EC020MA101(A), CY100(B+), BE100(C), BE10104(B), BE103(A+), ME100(B), CY110(O), ME110(A),EC110(O)
MDL16EC021MA101(B+), CY100(C), BE100(B), BE10104(B), BE103(B+), ME100(F), CY110(O), ME110(O),EC110(A)
MDL16EC022MA101(A), CY100(B+), BE100(B), BE10104(B), BE103(B), ME100(B), CY110(O), ME110(A+),EC110(A)
MDL16EC023MA101(O), CY100(O), BE100(A), BE10104(O), BE103(A), ME100(A), CY110(O), ME110(O),EC110(O)
MDL16EC024MA101(B), CY100(A), BE100(F), BE10104(B), BE103(B+), ME100(B+), CY110(O), ME110(A+),EC110(A)
MDL16EC025MA101(O), CY100(A+), BE100(B), BE10104(A), BE103(A), ME100(B+), CY110(O), ME110(O),EC110(A+)
MDL16EC026MA101(O), CY100(B), BE100(A), BE10104(B+), BE103(B+), ME100(B+), CY110(O), ME110(O),EC110(A+)
MDL16EC027MA101(A+), CY100(A+), BE100(B), BE10104(B+), BE103(B+), ME100(B+), CY110(O),ME110(A+), EC110(B+)
MDL16EC028MA101(B+), CY100(B+), BE100(C), BE10104(B), BE103(B+), ME100(B+), CY110(O), ME110(O),EC110(A)
MDL16EC029MA101(A+), CY100(A), BE100(A+), BE10104(B), BE103(A), ME100(C), CY110(O), ME110(O),EC110(A)
MDL16EC030MA101(B), CY100(B+), BE100(B), BE10104(B), BE103(A), ME100(B), CY110(O), ME110(O),EC110(A)
MDL16EC031MA101(O), CY100(O), BE100(B+), BE10104(B), BE103(A+), ME100(B+), CY110(O), ME110(A+),EC110(A+)
MDL16EC032MA101(O), CY100(A+), BE100(A), BE10104(A), BE103(B+), ME100(B), CY110(O), ME110(A+),EC110(O)
MDL16EC033MA101(O), CY100(A+), BE100(A+), BE10104(A+), BE103(A), ME100(B+), CY110(O), ME110(O),EC110(O)
MDL16EC034MA101(O), CY100(A), BE100(A), BE10104(B), BE103(A+), ME100(A), CY110(O), ME110(O),EC110(A+)
MDL16EC035MA101(O), CY100(O), BE100(B+), BE10104(A+), BE103(A+), ME100(A+), CY110(O),ME110(A+), EC110(O)
MDL16EC036MA101(B+), CY100(A), BE100(B+), BE10104(B), BE103(B+), ME100(B+), CY110(A+), ME110(A),EC110(O)
MDL16EC037MA101(B+), CY100(B+), BE100(B), BE10104(B+), BE103(A+), ME100(B+), CY110(O),ME110(A+), EC110(O)
MDL16EC038MA101(O), CY100(A+), BE100(A), BE10104(B), BE103(B+), ME100(A), CY110(O), ME110(O),EC110(O)
MDL16EC039MA101(A+), CY100(O), BE100(B), BE10104(A+), BE103(A+), ME100(A+), CY110(O), ME110(A+),EC110(O)
MDL16EC040MA101(A), CY100(B+), BE100(A), BE10104(B+), BE103(B+), ME100(B+), CY110(O), ME110(O),EC110(A+)
MDL16EC041MA101(O), CY100(B+), BE100(B+), BE10104(B+), BE103(B+), ME100(B), CY110(O), ME110(O),EC110(O)
MDL16EC042MA101(A+), CY100(O), BE100(A+), BE10104(B+), BE103(A+), ME100(O), CY110(O),ME110(A+), EC110(A)
MDL16EC043MA101(B), CY100(F), BE100(B), BE10104(C), BE103(B), ME100(F), CY110(A+), ME110(O),EC110(B)
MDL16EC044MA101(A+), CY100(O), BE100(A+), BE10104(A+), BE103(A+), ME100(O), CY110(O), ME110(O),EC110(O)
MDL16EC045MA101(A+), CY100(O), BE100(C), BE10104(B+), BE103(B+), ME100(B+), CY110(O), ME110(A),EC110(O)
MDL16EC046MA101(A+), CY100(O), BE100(F), BE10104(C), BE103(B+), ME100(B), CY110(O), ME110(A+),EC110(A)
MDL16EC047MA101(A+), CY100(C), BE100(B), BE10104(C), BE103(B), ME100(B), CY110(A), ME110(A+),EC110(B)
MDL16EC048MA101(O), CY100(A+), BE100(A+), BE10104(B+), BE103(A+), ME100(O), CY110(O), ME110(O),EC110(A+)
MDL16EC049MA101(B), CY100(C), BE100(C), BE10104(F), BE103(A), ME100(B), CY110(O), ME110(A+),EC110(B+)
MDL16EC050MA101(A), CY100(F), BE100(B+), BE10104(F), BE103(B+), ME100(B), CY110(O), ME110(B+),EC110(A)
MDL16EC051MA101(A+), CY100(B), BE100(B+), BE10104(B+), BE103(B), ME100(B), CY110(O), ME110(A+),EC110(B+)
MDL16EC052MA101(O), CY100(O), BE100(A), BE10104(B+), BE103(A+), ME100(A), CY110(O), ME110(A+),EC110(A)
MDL16EC053MA101(A), CY100(B), BE100(B+), BE10104(B+), BE103(B+), ME100(B+), CY110(O), ME110(A),EC110(A)
MDL16EC054MA101(A+), CY100(B), BE100(B+), BE10104(C), BE103(B+), ME100(B+), CY110(O), ME110(B+),EC110(A)
MDL16EC055MA101(B+), CY100(B+), BE100(B+), BE10104(C), BE103(B+), ME100(B), CY110(O), ME110(B+),EC110(A+)
MDL16EC056MA101(B+), CY100(B), BE100(A), BE10104(B), BE103(B+), ME100(B+), CY110(O), ME110(A),EC110(A+)
MDL16EC057MA101(A), CY100(C), BE100(C), BE10104(C), BE103(B), ME100(B+), CY110(O), ME110(B+),EC110(A)
MDL16EC058MA101(O), CY100(O), BE100(O), BE10104(A), BE103(A), ME100(O), CY110(O), ME110(O),EC110(O)
MDL16EC059MA101(B+), CY100(B+), BE100(B+), BE10104(C), BE103(C), ME100(B), CY110(A), ME110(O),EC110(B+)
MDL16EC060MA101(A+), CY100(A), BE100(B), BE10104(B), BE103(B), ME100(B), CY110(O), ME110(A+),EC110(A+)
